,0
arith mean,-0.000821517121123649
arith mean (ann),-0.009858205453483787
geomean mean,-0.0018043733803485562
geomean mean (ann),-0.021438887369561788
sigma,0.04431333738513529
sigma (ann),0.1535059036079914
avg drawdown,0.6068262720790054
max drawdown,0.8112308652702458
alpha,-0.00045079921994191515
alpha SE,0.0017795178315212698
alpha (ann),-0.005409590639302982
alpha SE (ann),0.021354213978255238
beta,-0.05981116052355489
betaSE,0.03844109226303038
Sharpe ratio,-0.0185388230632167
Sharpe ratio (ann),-0.06422036691604202
information ratio,-0.010172991847216041
information ratio (ann),-0.0352402774887243
